"Issue Key"|"Summary"|"Author"|"Created"|"Field Type"|"Field"|"From"|"From String"|"To"|"To String"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Colaborador Desarrollo Profesoral"|"2024-10-01T10:21:35.477-0500"|"jira"|"priority"|"3"|"Medium"|"1"|"Highest"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Automation for Jira"|"2024-10-01T10:21:28.176-0500"|"jira"|"assignee"|""|""|"62fd42fce2b1b5ae159b167b"|"Colaborador Desarrollo Profesoral"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Colaborador Desarrollo Profesoral"|"2024-10-01T10:21:26.327-0500"|"jira"|"status"|"10393"|"To Do"|"10394"|"In Progress"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Colaborador Desarrollo Profesoral"|"2024-10-01T10:21:20.797-0500"|"jira"|"description"|""|""|""|"Un cordial saludo.

Espero que se encuentre muy bien.

En PRO en la tabla  *FCT_HORAS_MINIMAS* en la columna *FECHA_EFECTIVA*  hay filas que están llegando vacías. 

La *FECHA_EFECTIVA* hace referencia dentro de *SIGA* al siguiente campo:

!image-20241001-151703.png|width=75%,alt=""image-20241001-151703.png""!

Pero dentro de *SQL PRO* poderos evidenciar que está llegando vacías para algún campo, como se muestra a continuación, teniendo en cuenta que dentro *SIGA* siempre toca colocar dicha fecha para guardar:

!image-20241001-152055.png|width=75%,alt=""image-20241001-152055.png""!"
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Colaborador Desarrollo Profesoral"|"2024-10-01T10:17:24.246-0500"|"jira"|"summary"|""|"HRS_MIN - En la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|""|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Colaborador Desarrollo Profesoral"|"2024-10-01T10:05:08.605-0500"|"jira"|"summary"|""|"HRS_MIN - En la columna FECHA_EFECTIVA hay filas en las que se encuntran vacias "|""|"HRS_MIN - En la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "
"PAFI3-465"|"HRS_MIN - En PRO en la columna FECHA_EFECTIVA hay filas en las que se encuentran vacías "|"Colaborador Desarrollo Profesoral"|"2024-10-01T10:04:37.728-0500"|"jira"|"IssueParentAssociation"|""|""|"27768"|"27768"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-10-02T18:02:56.751-0500"|"jira"|"resolution"|""|""|"10000"|"Done"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-10-02T18:02:56.751-0500"|"jira"|"status"|"10436"|"TESTING"|"10395"|"Done"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-10-02T16:08:48.556-0500"|"jira"|"status"|"10394"|"In Progress"|"10436"|"TESTING"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Automation for Jira"|"2024-10-02T16:08:44.810-0500"|"jira"|"assignee"|"5e67ac4f2a0bb00ce033d332"|"Sebastián Alfonso Aguilar"|"62fd42fce2b1b5ae159b167b"|"Colaborador Desarrollo Profesoral"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-10-02T16:08:43.179-0500"|"jira"|"resolution"|"10000"|"Done"|""|""
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-10-02T16:08:43.179-0500"|"jira"|"status"|"10395"|"Done"|"10394"|"In Progress"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Sebastián Alfonso Aguilar"|"2024-09-30T07:58:27.901-0500"|"custom"|"Tipología de casos"|""|""|"10618"|"INCIDENTE"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Sebastián Alfonso Aguilar"|"2024-09-27T10:42:19.210-0500"|"jira"|"resolution"|""|""|"10000"|"Done"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Sebastián Alfonso Aguilar"|"2024-09-27T10:42:19.210-0500"|"jira"|"status"|"10394"|"In Progress"|"10395"|"Done"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T16:02:11.588-0500"|"jira"|"priority"|"3"|"Medium"|"1"|"Highest"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T16:00:45.342-0500"|"jira"|"summary"|""|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 ni en la FCT_COMPETENCIA_DOCENTE"|""|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T15:48:57.551-0500"|"jira"|"assignee"|"62fd42fce2b1b5ae159b167b"|"Colaborador Desarrollo Profesoral"|"5e67ac4f2a0bb00ce033d332"|"Sebastián Alfonso Aguilar"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T15:48:53.503-0500"|"custom"|"Fase del modelo impactado"|""|""|"10594"|"Fase 2"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T15:48:50.090-0500"|"custom"|"Tipo de incidencia"|""|""|"10591"|"TEC - Calidad de datos (SK en -1, NDF etc.)"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T15:48:33.790-0500"|"custom"|"Tipo de incidencia"|"10591"|"TEC - Calidad de datos (SK en -1, NDF etc.)"|""|""
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T15:48:24.829-0500"|"custom"|"Tipo de incidencia"|""|""|"10591"|"TEC - Calidad de datos (SK en -1, NDF etc.)"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T15:48:03.504-0500"|"custom"|"Temática de incidencia"|""|""|"10612"|"DDP - AGENDA ACADÉMICA"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T15:47:48.900-0500"|"jira"|"description"|""|""|""|"Buenas tardes, 

Apreciados todos, amablemente les queremos pedir ayuda para revisar esta novedad que estamos validando en la *FCT_COMPETENCIA_DOCENTE* consulta que trae todas las competencias de los profesores que se les asignó en la *Agenda Académica* para cualquier *periodo,* pero cuando en el DWH en la *FCT_COMPETENCIA_DOCENTE*  evidenciamos que hacen falta profesores y no aparecen, pero cuando validamos en la agenda académica para un periodo determinado si tienen Agenda Académica asignada y adicionalmente tienen las competencias que ya fueron tanto evaluadas por el *jefe inmediato* como *autoevaluadas* también por ende no tiene nivel *óptimo del cargo*. Adjuntamos la evidencia. Todo este estudio se realizó en el *ambiente productivo*

*CASO 1- PROFESOR YOSIMAR DIAZ MONTERROZA con ID 0000014461- PERIODO 2023 AGENDA ASIGNADA*

Evidenciamos que para este profesor no cuanta con ningún tipo de información asociada a las *competencias de Agenda Académica* en el *periodo 2023,* el profesor cuenta con Agenda Académica asignada para este periodo y adicionalmente ya realizo la Auto-Evaluación y la Evaluación por parte del Jefe Inmediato adjuntamos pantallazos, pero en el *DWH* no tiene información de este profesor.

*EN DWH- SQL*- No aparece información asociada a este profesor

!image-20240926-200439.png|width=83.33333333333333%,alt=""image-20240926-200439.png""!

*EN SIGA AGENDA ACADÉMICO*- Evaluación asignada para el periodo 2023 y con calificación en la pestaña de competencia con niveles.

!image-20240926-201217.png|width=83.33333333333333%,alt=""image-20240926-201217.png""!

!image-20240926-201344.png|width=91.66666666666666%,alt=""image-20240926-201344.png""!

*CASO 2- PROFESOR- LESLIE NICOLE HERNÁNDEZ ROMERO con ID:0000228748 -  PERIODO 2023 AGENDA ASIGNADA*

Evidenciamos que para esta profesora cuanta con información asociada a las *competencias de Agenda Académica* para el *periodo 2023,* la profesora cuenta con Agenda Académica asignada para este periodo y adicionalmente ya realizo la *Auto-Evaluación* y la *Evaluación* por parte del *Jefe Inmediato* adjuntamos pantallazos, pero cuando validamos en el DWH en la columna de *STR_NIVEL_AUTOEVALUACION* y la de *STR_NIVEL_JEFE_INMEDIATO* están vacías.

*EN DWH- SQL-* Se Evidencia que *STR_NIVEL_AUTOEVALUACION* y la de *STR_NIVEL_JEFE_INMEDIATO* están vacías y no tienen información

!image-20240926-200556.png|width=91.66666666666666%,alt=""image-20240926-200556.png""!

*EN SIGA AGENDA ACADÉMICO-*  Tiene evaluación asignada para el *periodo 2023*

!image-20240926-201829.png|width=481,height=244,alt=""image-20240926-201829.png""!

!image-20240926-201913.png|width=91.66666666666666%,alt=""image-20240926-201913.png""!

*NOTA:*  Se validó con [~accountid:6408f90d0a4a47fb8d24c2b5]  y [~accountid:5e67ac4f2a0bb00ce033d332]  y se evidenció que posiblemente es una solución con recargarla la FCT, amablemente solicito de su ayuda recargando esto para saber si se soluciona esta novedad y adicionalmente, que quede actualizada la información de este modelo con una recurrencia diaria para ver la información en tiempo real"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T12:09:48.312-0500"|"jira"|"summary"|""|"AGENDA ACADÉMICA- No nos esta apareciendo las competencias de los profesores para el periodo 2023 ni en la "|""|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 ni en la FCT_COMPETENCIA_DOCENTE"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T12:08:50.143-0500"|"jira"|"summary"|""|"AGENDA ACADÉMICA- No nos esta apareciendo las competencias de los profesores para el periodo 2023"|""|"AGENDA ACADÉMICA- No nos esta apareciendo las competencias de los profesores para el periodo 2023 ni en la "
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Automation for Jira"|"2024-09-26T12:06:40.015-0500"|"jira"|"assignee"|""|""|"62fd42fce2b1b5ae159b167b"|"Colaborador Desarrollo Profesoral"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T12:06:38.265-0500"|"jira"|"status"|"10393"|"To Do"|"10394"|"In Progress"
"PAFI3-464"|"AGENDA ACADÉMICA- No nos está apareciendo las competencias de los profesores para el periodo 2023 en la FCT_COMPETENCIA_DOCENTE"|"Colaborador Desarrollo Profesoral"|"2024-09-26T12:04:20.316-0500"|"jira"|"IssueParentAssociation"|""|""|"27768"|"27768"
"PAFI3-463"|"NUMERO TOTAL DE TICKETS EN LA FCT DISCREPA DEL REAL"|"Sebastián Alfonso Aguilar"|"2024-09-18T11:57:32.965-0500"|"jira"|"description"|""|""|""|"En la FCT GESTION TICKETs al hacer un conteo distintivo, me salen 400.000 tickets, pero la realidad es que son 600.000, adjunto evidencias

!image-20240918-165607.png|width=66.66666666666666%,alt=""image-20240918-165607.png""!"
"PAFI3-463"|"NUMERO TOTAL DE TICKETS EN LA FCT DISCREPA DEL REAL"|"Sebastián Alfonso Aguilar"|"2024-09-18T11:56:36.076-0500"|"jira"|"assignee"|""|""|"5e67ac4f2a0bb00ce033d332"|"Sebastián Alfonso Aguilar"
"PAFI3-463"|"NUMERO TOTAL DE TICKETS EN LA FCT DISCREPA DEL REAL"|"Sebastián Alfonso Aguilar"|"2024-09-18T11:54:52.225-0500"|"jira"|"Parent"|""|""|"27772"|"PAFI3-67"
"PAFI3-463"|"NUMERO TOTAL DE TICKETS EN LA FCT DISCREPA DEL REAL"|"Sebastián Alfonso Aguilar"|"2024-09-18T11:54:51.460-0500"|"jira"|"IssueParentAssociation"|""|""|"27772"|"27772"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Colaborador Desarrollo Profesoral"|"2024-10-02T17:29:45.946-0500"|"jira"|"resolution"|""|""|"10000"|"Done"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Colaborador Desarrollo Profesoral"|"2024-10-02T17:29:45.946-0500"|"jira"|"status"|"10436"|"TESTING"|"10395"|"Done"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Colaborador Desarrollo Profesoral"|"2024-10-02T17:19:24.382-0500"|"jira"|"description"|""|"Buenas tardes 

Apreciados, amablemente solicitamos de su colaboración realizando la revisión del porqué para esta profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no le está saliendo la totalidad de los cursos asociados al plan de formación en la tabla *FCT_PLAN_FORMACION* para los años con fecha de inicio del año *2020* al actual (*2024*), esta revisión fue realizada en el *ambiente de producción*

Cuando validamos cuantos cursos tiene la profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no nos aparecen los *34 cursos* de la profesora, pero en el DWH por medio del SQL para la profesora solo aparecen *28 cursos.* 

*Reporte SIGA* Información, no solo validada en reportes, sino también directamente en SIGA en módulo de Formación y también en certificados de cursos ):

!image-20240924-223132.png|width=83.33333333333334%,alt=""image-20240924-223132.png""!

*SQL-* Se realizó validación de dos cursos y no aparecen ni en la *FCT_PLAN_FORMACION*  en la *MIRROR*

*FCT_PLAN_FORMACION* 

!image-20240924-222952.png|width=91.66666666666666%,alt=""image-20240924-222952.png""!

*MIRROR*

!image-20240924-221734.png|width=91.66666666666666%,alt=""image-20240924-221734.png""!"|""|"Buenas tardes 

Apreciados, amablemente solicitamos de su colaboración realizando la revisión del porqué para esta profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no le está saliendo la totalidad de los cursos asociados al plan de formación en la tabla *FCT_PLAN_FORMACION* para los años con fecha de inicio del año *2020* al actual (*2024*), esta revisión fue realizada en el *ambiente de producción*

Cuando validamos cuantos cursos tiene la profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no nos aparecen los *34 cursos* de la profesora, pero en el DWH por medio del SQL para la profesora solo aparecen *28 cursos.* 

*Reporte SIGA* Información, no solo validada en reportes, sino también directamente en SIGA en módulo de Formación y también en certificados de cursos:

!image-20240924-223132.png|width=83.33333333333334%,alt=""image-20240924-223132.png""!

*SQL-* Se realizó validación de dos cursos y no aparecen ni en la *FCT_PLAN_FORMACION*  en la *MIRROR*

*FCT_PLAN_FORMACION* 

!image-20240924-222952.png|width=100%,alt=""image-20240924-222952.png""!

*MIRROR*

!image-20240924-221734.png|width=91.66666666666666%,alt=""image-20240924-221734.png""!

s"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Colaborador Desarrollo Profesoral"|"2024-10-02T16:08:36.436-0500"|"jira"|"resolution"|"10000"|"Done"|""|""
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Colaborador Desarrollo Profesoral"|"2024-10-02T16:08:36.436-0500"|"jira"|"status"|"10395"|"Done"|"10436"|"TESTING"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Colaborador Desarrollo Profesoral"|"2024-10-02T16:08:27.619-0500"|"jira"|"assignee"|"5e67ac4f2a0bb00ce033d332"|"Sebastián Alfonso Aguilar"|"62fd42fce2b1b5ae159b167b"|"Colaborador Desarrollo Profesoral"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Sebastián Alfonso Aguilar"|"2024-10-02T15:53:30.598-0500"|"jira"|"resolution"|""|""|"10000"|"Done"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Sebastián Alfonso Aguilar"|"2024-10-02T15:53:30.598-0500"|"jira"|"status"|"10394"|"In Progress"|"10395"|"Done"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Sebastián Alfonso Aguilar"|"2024-09-30T08:01:00.435-0500"|"custom"|"Tipología de casos"|""|""|"10618"|"INCIDENTE"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Sebastián Alfonso Aguilar"|"2024-09-30T08:00:55.923-0500"|"custom"|"Fase del modelo impactado"|""|""|"10594"|"Fase 2"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Sebastián Alfonso Aguilar"|"2024-09-30T08:00:48.176-0500"|"custom"|"Tipo de incidencia"|""|""|"10592"|"FUNC - Fuente de datos"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Colaborador Desarrollo Profesoral"|"2024-09-24T17:33:50.728-0500"|"jira"|"description"|""|"Buenas tardes 

Apreciados, amablemente solicitamos de su colaboración realizando la revisión del porqué para esta profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no le está saliendo la totalidad de los cursos asociados al plan de formación en la tabla *FCT_PLAN_FORMACION* para los años con fecha de inicio del año *2020* al actual (*2024*)

Cuando validamos cuantos cursos tiene la profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no nos aparecen los *34 cursos* de la profesora, pero en el DWH por medio del SQL para la profesora solo aparecen *28 cursos.* 

*Reporte SIGA* Información, no solo validada en reportes, sino también directamente en SIGA en módulo de Formación y también en certificados de cursos ):

!image-20240924-223132.png|width=83.33333333333334%,alt=""image-20240924-223132.png""!

*SQL-* Se realizó validación de dos cursos y no aparecen ni en la *FCT_PLAN_FORMACION*  en la *MIRROR*

*FCT_PLAN_FORMACION* 

!image-20240924-222952.png|width=91.66666666666666%,alt=""image-20240924-222952.png""!

*MIRROR*

!image-20240924-221734.png|width=91.66666666666666%,alt=""image-20240924-221734.png""!"|""|"Buenas tardes 

Apreciados, amablemente solicitamos de su colaboración realizando la revisión del porqué para esta profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no le está saliendo la totalidad de los cursos asociados al plan de formación en la tabla *FCT_PLAN_FORMACION* para los años con fecha de inicio del año *2020* al actual (*2024*), esta revisión fue realizada en el *ambiente de producción*

Cuando validamos cuantos cursos tiene la profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no nos aparecen los *34 cursos* de la profesora, pero en el DWH por medio del SQL para la profesora solo aparecen *28 cursos.* 

*Reporte SIGA* Información, no solo validada en reportes, sino también directamente en SIGA en módulo de Formación y también en certificados de cursos ):

!image-20240924-223132.png|width=83.33333333333334%,alt=""image-20240924-223132.png""!

*SQL-* Se realizó validación de dos cursos y no aparecen ni en la *FCT_PLAN_FORMACION*  en la *MIRROR*

*FCT_PLAN_FORMACION* 

!image-20240924-222952.png|width=91.66666666666666%,alt=""image-20240924-222952.png""!

*MIRROR*

!image-20240924-221734.png|width=91.66666666666666%,alt=""image-20240924-221734.png""!"
"PAFI3-462"|"PLAN DE FORMACIÓN- No aparece la información tota de los cursos de un profesor en un periodo de tiempo 2020-2024 en la FCT_PLAN_FORMACION"|"Colaborador Desarrollo Profesoral"|"2024-09-24T17:32:58.367-0500"|"jira"|"description"|""|"Buenas tardes 

Apreciados, amablemente solicitamos de su colaboración realizando la revisión del porqué para esta profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no le está saliendo la totalidad de los cursos asociados al plan de formación en la tabla *FCT_PLAN_FORMACION* para los años con fecha de inicio del año *2020* al actual (*2024*)

Cuando validamos cuantos cursos tiene la profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no nos aparecen los 34 cursos de la profesora para la profesora solo aparecen 28 cursos 

*Reporte SIGA* Información, no solo validada en reportes, sino también directamente en SIGA en módulo de Formación y también en certificados de cursos ):

!image-20240924-223132.png|width=83.33333333333334%,alt=""image-20240924-223132.png""!

*SQL-* Se realizó validación de dos cursos y no aparecen ni en la *FCT_PLAN_FORMACION*  en la *MIRROR*

*FCT_PLAN_FORMACION* 

!image-20240924-222952.png|width=91.66666666666666%,alt=""image-20240924-222952.png""!

*MIRROR*

!image-20240924-221734.png|width=91.66666666666666%,alt=""image-20240924-221734.png""!"|""|"Buenas tardes 

Apreciados, amablemente solicitamos de su colaboración realizando la revisión del porqué para esta profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no le está saliendo la totalidad de los cursos asociados al plan de formación en la tabla *FCT_PLAN_FORMACION* para los años con fecha de inicio del año *2020* al actual (*2024*)

Cuando validamos cuantos cursos tiene la profesora *ELYN LIZETH SOLANO CHARRIS* con ID: *0000001029,* no nos aparecen los *34 cursos* de la profesora, pero en el DWH por medio del SQL para la profesora solo aparecen *28 cursos.* 

*Reporte SIGA* Información, no solo validada en reportes, sino también directamente en SIGA en módulo de Formación y también en certificados de cursos ):

!image-20240924-223132.png|width=83.33333333333334%,alt=""image-20240924-223132.png""!

*SQL-* Se realizó validación de dos cursos y no aparecen ni en la *FCT_PLAN_FORMACION*  en la *MIRROR*

*FCT_PLAN_FORMACION* 

!image-20240924-222952.png|width=91.66666666666666%,alt=""image-20240924-222952.png""!

*MIRROR*

!image-20240924-221734.png|width=91.66666666666666%,alt=""image-20240924-221734.png""!"
